id,lat,lon,highway,lamp_mount,lamp_type,light:count,material,lamp_ref,power,source,line_attachment,street_lamp,height,sidewalk_orientation,surface,colour,light_source,layer,direction,mapillary,transformer,design,guyed,line_management,transformer_bank,fixme,lit,note,lamp_flames,flag:name,flag:type,flag:wikidata,country,level,support,survey:date,light:height,mapillary:image,mapillary:map_feature
2228025144,45.4824112,-75.4891139,street_lamp,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385521132,45.3709945,-75.6928306,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385521133,45.371055,-75.6923627,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385521134,45.3711041,-75.6919163,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385521135,45.3711796,-75.6914699,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412235787,45.3222212,-75.8863857,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412235788,45.322329,-75.8845985,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535700045,45.4851552,-75.6928617,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535700046,45.485189,-75.6930987,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535700049,45.4853299,-75.6925844,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535700054,45.4854032,-75.6932876,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535700064,45.4858286,-75.6924719,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535700065,45.4858962,-75.6932072,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573546877,45.3518722,-75.7503054,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573546880,45.352142,-75.7493851,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573546881,45.3522536,-75.7505117,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573546882,45.3525435,-75.7496929,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
